ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,WorldPop_F,WorldPop_M,Sex_Ratio
AD,,,,,81.443977591,0,105.172268908,7.6999998,25.6,33.799999,3.575100947657341,3.0134614,4.1108012,5.6467149909921535,5.0615363,6.2066035,0.11933357345713777,0.074028298,0.16239369,24.59785331796691,21.27166,27.773521,,,,0,0,113964.313694,160.062238334,0.17354061,0.48644424910811945,0.5130921874105803,1.0547811
AE,50.90654915965044,49.250317395683325,3.8531689643859863,8.38016128540039,187.712898196,0,621.674392961,16.299999,31.700001,18.200001,3.0861191009954614,2.4856646,3.3265522,8.94570138309154,8.1373701,9.269372,0.05274812999892646,0.011860084,0.069120467,12.891580076513346,8.6637297,14.58449,0.21506487,0.24505487,0.035150539,26,0,9088020.53686,100.161136254,0.013831641,0.2859278639898203,0.7140721649647797,2.4973857
AF,46.174043512855626,44.907842348980545,0.8769135475158691,3.3131425380706787,311.650705906,0,1212.5134956,9.1999998,5.5,,2.174824268672001,2.4777098,1.9339364000000001,8.670209607601434,7.9576163,9.2369432,0.018028010200242445,0.011579518,0.023156565,23.046070496115576,22.357883,23.593395,0.18544872,0.28051353,0.03045731,0,0,30389699.3059,33.6527358825,0.026753183,0.44299326112076204,0.5570066959074406,1.2573706
AG,4.974236081209445,5.090471257916657,1.0715301036834717,2.1015117168426514,319.217647059,0,67.6666666667,13.1,18.9,,1.1091902600664452,1.0460091,1.1775502,7.119450839329527,6.7674685,7.5002842,0.29321404963282116,0.21748988,0.37514508,24.19935351465415,21.854603,26.736296,0.24227348,0.21469025,0.04960813,0,0,90964.9354306,172.282074679,0.077569313,0.5196848849089343,0.48031509936412664,0.92424297
AL,14.044685112469246,16.05544676282909,2.274730920791626,5.545869827270508,72.9421027625,0,190.005402448,9,21.700001,29.200001,1.7638357334096098,1.3494358,2.1813979,7.768843128776396,7.0967188,8.4460964,0.0012073741879446928,7.72361e-4,0.0016457069,31.635416098756423,28.486546,34.808315,0.26426485,0.19690481,0.056346051,0,0,2787698.01335,63.4938620511,0.14337732,0.5019004545326031,0.4980995406784993,0.99242693
AM,16.12684518737096,20.349017648359208,3.2360050678253174,7.645777225494385,94.7329225469,0,223.568144173,6.0999999,20.200001,26.700001,2.624403527853668,2.0559397,3.2455347,8.134390462150956,7.3153253,9.0303898,0.042853083116801687,0.02936022,0.057591356,27.41482064281203,26.761795,28.134228,0.28855976,0.23379689,0.065903053,0,0,2789960.50899,64.0604451917,0.12010002,0.5218223682051474,0.47806242980938934,0.91614014
AO,16.50725948847731,16.355190869744334,0.5385628342628479,4.672138690948486,380.272200952,0,814.642986544,4.5,8.1999998,,1.7828989130525654,1.8586696,1.6983101,6.705822298265799,6.7092857,6.7019558,1.7276204314590742,2.2154975,1.1829647,22.276427685329164,21.622429,23.006538,0.14042194,0.24023515,0.02709987,0,0,36074945.9257,24.1379063894,0.023650512,0.5274948447377542,0.47250515732184695,0.89575315
AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,6.327994764181586,7.1818247901345735,2.0995452404022217,6.612338066101074,210.091806332,0,650.39740725,5.9000001,28.299999,21.799999,3.2731551958396725,2.6599767,3.929729,5.529396028736791,5.283371,5.7982941,0.4260288774316344,0.34157732,0.51642507,24.181284911487047,20.68351,27.933739,0.21849777,0.19532718,0.045592349,0,0,45241878.8811,11.3617937832,0.11632494,0.5151467749880803,0.4842259548409664,0.93997669
AT,13.197363912401787,14.8696882160042,4.730382442474365,7.334787845611572,51.428123247,0,125.550636111,6.5999999,20.1,29.1,3.4499194806122264,3.007606,3.9158032,6.895063426493931,6.2708211,7.5556021,0.1741124923215322,0.08397536,0.26826155,27.393673534232995,24.690989,30.249826,0.30616012,0.19429922,0.060991149,1,0,8783072.66054,60.9550399438,0.18930916,0.5098190773392393,0.4894486435611132,0.96004373
AU,4.4936210399061665,5.686630585114309,0.6666019558906555,5.571048736572266,843.248798656,0,1505.0906199,5.5999999,29,16.200001,3.4859471338558485,3.3732202,3.6015544,7.188137201322535,6.0501819,8.3551693,0.06321114398500702,0.026189929,0.10117832,18.894934495210933,16.863253,20.978529,0.2404076,0.17178676,0.04482187,0,6,21140044.8386,2.12160619887,0.16209295,0.5063073934666654,0.4936926141681339,0.97508478
