,Countries,FirstTotal,SecondTotal
0,AT,6371055,5838348
1,BE,8390779,7890811
2,BG,2074802,1534292
3,CY,630545,595554
4,CZ,6549481,6066836
5,DE,60254504,59274778
6,DK,4305966,4266235
7,EE,790778,706059
8,EL,7429998,6700915
9,ES,36454767,32122126
10,FI,12233306,11944257
11,FR,104621133,100030724
12,HR,2282163,2013644
13,HU,5919885,5505070
14,IE,3687138,3416825
15,IS,264114,207407
16,IT,101505914,85049308
17,LI,25060,24618
18,LT,3730362,3098922
19,LU,425510,379893
20,LV,1221963,926103
21,MT,411286,375344
22,NL,11880218,10446361
23,NO,3997593,3905759
24,PL,41679402,36028792
25,PT,18106369,14332123
26,RO,7915360,5861034
27,SE,14448508,14206556
28,SI,1187566,1024236
29,SK,2704127,2491415
