,Countries,ReceivedTotal,ExportedTotal
0,AT,49017043.0,7167545.0
1,BE,26231495.0,2457150.0
2,BG,11062665.0,0.0
3,CY,2746213.0,111690.0
4,CZ,33233556.0,3656090.0
5,DE,238491975.0,17241180.0
6,DK,9210270.0,0.0
7,EE,3628850.0,121350.0
8,EL,28769540.0,0.0
9,ES,166927989.0,41190550.0
10,FI,15794755.0,0.0
11,FR,224227010.0,1104000.0
12,HR,9760010.0,1114680.0
13,HU,32466696.0,0.0
14,IE,16258200.0,835000.0
15,IS,9237830.0,1106820.0
16,IT,155349042.0,0.0
17,LI,66800.0,0.0
18,LT,9276655.0,0.0
19,LU,2194550.0,0.0
20,LV,5108265.0,88230.0
21,MT,0.0,341380.0
22,NL,51464896.0,5211900.0
23,NO,17708885.0,0.0
24,PL,105449730.0,0.0
25,PT,35362190.0,0.0
26,RO,26583835.0,252000.0
27,SE,40359525.0,1094000.0
28,SI,6749990.0,748000.0
29,SK,10806560.0,1000700.0
