fra;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
FR;1;2023-01-05;42688457;41568956;26832640;5893427;42613144;28932316;6165295;0;98306
FR;2;2023-01-05;6126865;6815636;10673742;330973;6161943;11786784;436244;0;6219
FR;3;2023-01-05;4416723;3441578;4460;2;3613579;2866;47;0;1
FR;4;2023-01-05;1081968;6898;1545;77;1083168;4283;576;0;14
FR;5;2023-01-05;276931;184595;3282;1003;223618;4924;1152;0;40
FR;6;2023-01-05;18485;13686;1943;2920;16794;2600;3150;0;650
FR;8;2023-01-05;22025;28928;262266;2707263;16845;186982;2763199;4207240;1248170
FR;9;2023-01-05;1162;1460;13534;139530;900;8998;141613;196223;45111
FR;10;2023-01-05;6;8;71;425;2;59;429;0;190
FR;0;2023-01-05;54632625;52061748;37793484;9075622;53729999;40929813;9511707;4403463;1398702
