fra;clage_vacsi;jour;n_dose1_h;n_complet_h;n_rappel_h;n_2_rappel_h;n_rappel_biv_h;n_3_rappel_h;n_cum_dose1_h;n_cum_complet_h;n_cum_rappel_h;n_cum_2_rappel_h;n_cum_rappel_biv_h;n_cum_3_rappel_h;couv_dose1_h;couv_complet_h;couv_rappel_h;couv_2_rappel_h;couv_rappel_biv_h;couv_3_rappel_h;n_dose1_f;n_complet_f;n_rappel_f;n_2_rappel_f;n_rappel_biv_f;n_3_rappel_f;n_cum_dose1_f;n_cum_complet_f;n_cum_rappel_f;n_cum_2_rappel_f;n_cum_rappel_biv_f;n_cum_3_rappel_f;couv_dose1_f;couv_complet_f;couv_rappel_f;couv_2_rappel_f;couv_rappel_biv_f;couv_3_rappel_f;n_dose1_e;n_complet_e;n_rappel_e;n_2_rappel_e;n_rappel_biv_e;n_3_rappel_e;n_cum_dose1_e;n_cum_complet_e;n_cum_rappel_e;n_cum_2_rappel_e;n_cum_rappel_biv_e;n_cum_3_rappel_e;couv_dose1_e;couv_complet_e;couv_rappel_e;couv_2_rappel_e;couv_rappel_biv_e;couv_3_rappel_e
FR;04;2020-12-27;1;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2;0;0;0;0;0;2;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2020-12-28;1;0;0;0;0;0;2;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;2;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2;1;0;0;0;0;4;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2020-12-29;1;0;0;0;0;0;3;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;2;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;5;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2020-12-30;0;0;0;0;0;0;3;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;3;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;6;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2020-12-31;1;0;0;0;0;0;4;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;3;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;7;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2021-01-01;0;0;0;0;0;0;4;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;4;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;8;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2021-01-02;0;0;0;0;0;0;4;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;4;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;8;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2021-01-03;0;0;0;0;0;0;4;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;4;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;8;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2021-01-04;1;0;0;0;0;0;5;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2;1;0;0;0;0;6;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;3;1;0;0;0;0;11;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;04;2021-01-05;6;0;0;0;0;0;11;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;0;0;0;7;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;7;0;0;0;0;0;18;3;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
